Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Russian Federation,RUS,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,56.769434,57.645335,58.521236,58.3996504,58.2780648,58.1564792,58.0348936,57.913308,57.5498634,57.1864188,56.8229742,56.4595296,56.096085,55.4463042,54.7965234,54.1467426,53.4969618,52.847181,52.6088594,52.3705378,52.1322162,51.8938946,51.655573,52.761158,53.866743,54.972328,56.077913,57.183498,55.371565,53.559632,51.747699,49.935766,48.123833,47.6018226,47.0798122,46.5578018,46.0357914,45.513781,44.7259102,43.9380394,43.1501686,42.3622978,41.574427,42.686702,43.798977,44.911252,46.023527,47.135802,48.8462998,50.5567976,52.2672954,53.9777932,55.688291,56.635997,57.583703,58.531409,59.479115,60.426821,60.7597112,61.0926014,
Russian Federation,RUS,Vitamin A supplementation coverage rate (% of children ages 6-59 months),SN.ITK.VITA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.19,5.94,8.29,9.68,10,12.14,13.54,13.17,10.78,9.34,8.14,8.46,8,7.31,7.42,6.35,6.46,8.91,7.88,6.97,5.79,5.76,5.48,5.82,5.76,5.36,4.91,4.65,5.64
Russian Federation,RUS,"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",SL.UEM.1524.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.96,13.71,16.32,18.76,19.33,23.53,27.1,23.95,20.71,18,15.57,17.55,17.21,15.51,16.37,14.44,14.04,18.46,17.09,15.45,14.86,13.94,13.79,16.09,16.46,16.31,16.96,15.18,16.96
Russian Federation,RUS,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",SL.TLF.CACT.MA.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.36,,,78.2,75.95,73.47,72.78,71.33,69.3,67.92,71.46,71.5,70.09,70.22,69.89,70.55,71.06,71.28,72.37,73.33,73.41,73.84,74.39,74.7,74.7,75.11,75.53,75.94,71.34,71.32,70.55,70.05
Russian Federation,RUS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.91,54.05,58.16,56.47,55.33,54.64,50.62,45.86,43.2,49.33,47.49,44.92,44.38,42.9,43.21,42.69,42.67,43.23,46.67,46.31,45.79,45.77,43.63,43.71,42.29,41.28,41.11,38.47,36.49,35.55,
Russian Federation,RUS,"Average working hours of children, study and work, female, ages 7-14 (hours per week)",SL.TLF.0714.SW.FE.TM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"Employment in industry, male (% of male employment) (modeled ILO estimate)",SL.IND.EMPL.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.63000107,44.63999939,43.68000031,41.66999817,39.81000137,38.47999954,36.18000031,35.08000183,35.36999893,35.77000046,36.70999908,37.04000092,37.97000122,37.75999832,37.56000137,37.52000046,38,38.16999817,36.95000076,37.47000122,37.45999908,38.13000107,38.18999863,38.11000061,37.88999939,37.41999817,37.50999832,37.27999878,37.52999878,
Russian Federation,RUS,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.08,64.34,60.51,58.99,57.72,54.9,53.03,56.77,58.54,58.44,59.76,59.38,60.33,61.28,61.66,63.06,63.25,62.02,62.7,63.88,64.91,64.77,65.33,65.29,65.68,59.49,59.82,59.42,58.43
Russian Federation,RUS,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",SL.EMP.1524.SP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.79,44.47,41.81,38.48,36.98,34.51,30.32,27,30.07,30.86,29.66,30.95,29.29,29.06,29.94,29.76,31.2,32.19,31.52,30.64,31.11,29.63,29.95,28.8,27.47,26.85,25.38,24.34,24.21,
Russian Federation,RUS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,24.6,20.3,17.6,17.8,15.2,13.3,13.4,13,12.5,12.7,10.7,10.8,11.2,13.3,13.3,13.2,12.6,12.3,12.1
Russian Federation,RUS,Proportion of people living below 50 percent of median income (%),SI.DST.50MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.5,,,20.7,15.1,15.5,15.5,15.1,14,13.4,15,15.4,15.2,15.5,15.1,14,13.3,13.2,12.9,12.7,12.5,12,11.6,11.8,11.3,10.8,,
Russian Federation,RUS,Domestic general government health expenditure (% of current health expenditure),SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.35673141,58.04123306,58.29951859,58.09910965,58.76708603,61.14411926,61.72977829,62.05422974,62.62738037,62.06686401,61.37907028,62.6505928,63.70746613,62.38064194,61.7865448,58.71852493,56.95004272,57.08874893,59.45658112,,
Russian Federation,RUS,Increase in poverty gap at $3.20 ($ 2011 PPP) poverty line due to out-of-pocket health care expenditure (USD),SH.UHC.NOP2.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208171308,,,,0.128130466,0.149940252,0.294774771,0.23004353,0.109308809,0.074604601,0.07791847,0.06838277,,,,,,0.011286251,0.05585327,0.015864268,0.031474575,0.006285758,,,,,,
Russian Federation,RUS,"Suicide mortality rate (per 100,000 population)",SH.STA.SUIC.P5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.8,52.4,52,51.6,50.1,49.8,44.8,41.7,40.7,38.4,38.1,35.9,34.4,33.5,33.8,32,31,28.2,27.1,25.1,
Russian Federation,RUS,"Prevalence of overweight, weight for height, female (% of children under 5)",SH.STA.OWGH.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,Low-birthweight babies (% of births),SH.STA.BRTW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3566761,6.8273225,6.4257035,6.1364059,5.9439907,5.8330088,5.788013,5.7936144,5.8343487,5.8947244,5.9593825,6.0128431,6.0397191,6.0245328,5.9518099,5.8061867,,,,,
Russian Federation,RUS,Prevalence of current tobacco use (% of adults),SH.PRV.SMOK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,,,30.6,,29.9,,29.3,,28.7,,28.3,,
Russian Federation,RUS,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"People using at least basic drinking water services, urban (% of urban population)",SH.H2O.BASW.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.6172737,98.6172737,98.62860664,98.63993958,98.65127253,98.66260547,98.67393841,98.68527135,98.6966043,98.70793724,98.71927018,98.73060312,98.74193607,98.75326901,98.76460195,98.77593489,98.78726784,98.79860078,98.80993372,98.82126667,98.83259961
Russian Federation,RUS,Number of neonatal deaths,SH.DTH.NMRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21771,19872,18177,16683,15280,14062,13052,12319,11978,11962,11934,11624,11066,10527,10097,9698,9250,8766,8291,7909,7857,8293,8880,8948,8270,7346,6608,6046,5432,4751,
Russian Federation,RUS,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",SH.ALC.PCAP.LI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73,,,,,17.36,,,,,15.87,,,,,12.47,,,11.19,,
Russian Federation,RUS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.951849937,9.213359833,10.58384037,10.53168964,11.17591,11.95057011,12.42580032,,11.95923042,,,,11.14675999,10.86184025,11.48851967,10.86946964,10.98528004,13.46508026,14.34107971,,
Russian Federation,RUS,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",SE.TER.CUAT.ST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.75577164,,,,,,,,60.10089874,,,,,,,,,,
Russian Federation,RUS,"Secondary education, teachers, female",SE.SEC.TCHR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033357,1013178,959309,922895,,,,,,,,,,,
Russian Federation,RUS,"School enrollment, secondary, female (% net)",SE.SEC.NENR.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.09739,93.29566,,,90.97303,,,
Russian Federation,RUS,"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.UP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.84999847,,,,,,,,86.31656647,,,,,,,,,,
Russian Federation,RUS,"Children out of school, primary, female",SE.PRM.UNER.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110024,231932,,,,,,,,,,,170175,147644,45598,6665,,,,,58883,26164,6234,,,,
Russian Federation,RUS,"Persistence to grade 5, total (% of cohort)",SE.PRM.PRS5.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"School enrollment, primary, male (% gross)",SE.PRM.ENRR.MA,,,,,,,,,,,,,,,,,,,,,,103.1397018,,,,,104.7406464,,,108.1250763,108.0903931,110.4283066,110.3952713,109.2998428,107.0716782,108.205658,,,,103.4847412,103.2185593,106.5457382,114.3049698,121.0911407,,95.13665771,94.70967865,95.55097198,97.41168976,99.12957764,,100.7737503,100.723587,99.50422668,97.37489319,98.69133759,99.52277374,102.8180771,105.2378616,104.6636276,
Russian Federation,RUS,"Trained teachers in preprimary education, female (% of female teachers)",SE.PRE.TCAQ.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian Federation,RUS,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",SE.ADT.1524.LT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.000589967,,,,,,,,,,,,,1.000920057,,,,,,,,1.000949979,,,,,,,,1.000990033,,
Russian Federation,RUS,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.16465981,,,,,,,68.00463962,66.84949173,67.89020792,65.83533251,,,
Russian Federation,RUS,"PPP conversion factor, GDP (LCU per international $)",PA.NUS.PPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000542319,0.001199344,0.018649575,0.179962384,0.71765825,1.71517,2.455975,2.778421,3.258399,5.539641,7.301404,8.322817,9.273504,9.866787,11.556843,12.736131,12.618288,13.984503,14.341196,14.016913,15.821142,18.443729,19.56826,19.505592,20.998875,23.562632,24.192337,24.124181,24.662242,25.500534,25.880788
Russian Federation,RUS,Gross savings (current US$),NY.GNS.ICTR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.16848E+11,1.1084E+11,1.0622E+11,88863103803,52358105569,55335908952,93896143854,99685281772,99408361691,1.21643E+11,1.78844E+11,2.33381E+11,3.03521E+11,4.06377E+11,4.99315E+11,2.55242E+11,4.00805E+11,5.88358E+11,6.01632E+11,5.56661E+11,5.04765E+11,3.59505E+11,3.19368E+11,4.04076E+11,4.79784E+11,4.50363E+11,4.02002E+11
Russian Federation,RUS,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1075E+11,4.58309E+11,4.33096E+11,3.93237E+11,3.92145E+11,3.85878E+11,3.91429E+11,3.14757E+11,2.58146E+11,2.50287E+11,2.59633E+11,3.05721E+11,3.73994E+11,4.90862E+11,6.38632E+11,8.30471E+11,1.07992E+12,1.36797E+12,1.31848E+12,1.42518E+12,1.58132E+12,1.93171E+12,2.17943E+12,2.13799E+12,1.72523E+12,1.42695E+12,1.35232E+12,1.50518E+12,1.6518E+12,1.56577E+12
Russian Federation,RUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18786E+12,1.16605E+12,1.01933E+12,9.53032E+11,8.51032E+11,8.32875E+11,8.17527E+11,8.4311E+11,8.07029E+11,8.70676E+11,1.00058E+12,1.07459E+12,1.1679E+12,1.33866E+12,1.47334E+12,1.69673E+12,2.13319E+12,2.37745E+12,2.8782E+12,2.7686E+12,2.927E+12,3.25932E+12,3.4803E+12,3.74178E+12,3.76353E+12,3.52624E+12,3.53898E+12,3.8071E+12,4.21136E+12,4.28389E+12,4.13308E+12
Russian Federation,RUS,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000763565,0.000884994,0.002023359,0.032179873,0.317885897,1.294743082,3.159262033,4.613671834,5.308421775,6.292548354,10.84751051,14.93679723,17.39832456,20.12323385,22.87149142,27.50414622,32.80678943,37.76730939,42.99477304,50.73964436,51.73952619,59.08193904,73.53343218,80.08369356,84.34425727,90.66170213,97.2344361,100,105.3498151,115.8826105,119.4566317,120.526989
Russian Federation,RUS,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-67918889379,-77143500133,-32413821426,-40209956946,-29393545860,16410664309,51642683735,50351897318,45844466130,59670444656,1.03183E+11,1.42964E+11,2.03616E+11,2.80838E+11,3.40126E+11,1.1588E+11,2.46298E+11,3.98784E+11,3.80394E+11,3.07527E+11,2.6681E+11,1.86518E+11,1.46782E+11,1.92017E+11,2.94774E+11,2.56506E+11,
Russian Federation,RUS,Adjusted savings: education expenditure (current US$),NY.ADJ.AEDU.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21702642000,19756971000,20115459000,20145255000,17775810000,16794336000,15336243000,15294474000,13691447596,14044003524,9185735349,6671684450,8970429891,10724280092,12022468553,14803341167,20523522674,26465678258,34128875765,45138415289,57351223252,42033043796,52524496450,70586267015,76117726890,79207189380,74693254555,48504997610,45163898844,67703213111,71991252664,72749966999,
Russian Federation,RUS,"Industry (including construction), value added (annual % growth)",NV.IND.TOTL.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.291145332,-21.59601931,-13.24789201,-19.8610165,-4.551674147,-5.572883201,0.879612559,-5.059474743,9.4829638,12.14133786,5.770782889,3.76192293,9.0507281,9.70930318,4.087522232,4.486582531,4.807245433,1.851144593,-10.4103792,6.611536754,6.392883576,3.60255631,0.403355366,0.09185527,-0.78375685,1.682561003,1.807152937,2.882496909,1.47824475,-3.203205958
Russian Federation,RUS,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",NV.AGR.TOTL.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54176041932,52171528383,47476090822,45577047189,40107801529,36899177406,34943521001,35817109030,29083492533,34056769752,38381979513,42757269420,43999522921,43211530470,43659278292,43593977711,44684870946,45095324875,47678542404,48479783403,42671445249,48736171574,48033398712,49916041795,51330561431,52809046252,53750508342,54553155108,55484690759,57401301317,57511577060
Russian Federation,RUS,Gross capital formation (constant LCU),NE.GDI.TOTL.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.84225E+13,4.73088E+13,2.98519E+13,2.10754E+13,1.44999E+13,1.29339E+13,1.20429E+13,1.15491E+13,6.32893E+12,5.91118E+12,1.03565E+13,1.20859E+13,1.17717E+13,1.34551E+13,1.50967E+13,1.65308E+13,1.94568E+13,2.37373E+13,2.62297E+13,1.54755E+13,1.9886E+13,2.4062E+13,2.53955E+13,2.40864E+13,2.25485E+13,1.99006E+13,1.97734E+13,2.10408E+13,2.0706E+13,2.13799E+13,2.0958E+13
Russian Federation,RUS,Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.90226876,18.16206147,13.27136217,62.32246186,38.20459448,27.75837904,29.28901135,26.07298813,24.72984153,31.22120547,43.21996851,44.06044131,36.8934936,35.21259406,35.24998177,34.41789105,35.20306596,33.73047544,30.16406048,31.30956033,27.9381012,29.21556079,28.05536148,26.90732034,25.84533683,27.11109705,28.70338944,25.85448298,26.09088098,30.7932713,28.53639836,25.52318261
Russian Federation,RUS,Final consumption expenditure (current LCU),NE.CON.TOTL.CN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383000000,374000000,448713000,887420000,9755700000,1.11965E+11,4.26911E+11,1.0166E+12,1.4359E+12,1.7761E+12,2.0038E+12,3.2857E+12,4.4768E+12,5.8868E+12,7.4841E+12,9.0587E+12,1.14779E+13,1.44382E+13,1.78097E+13,2.19686E+13,2.75435E+13,2.92696E+13,3.25146E+13,4.08838E+13,4.72734E+13,5.24336E+13,5.67359E+13,5.85311E+13,6.13985E+13,6.52895E+13,7.07052E+13,7.59622E+13,7.50628E+13
Russian Federation,RUS,"Internally displaced persons, total displaced by conflict and violence (number of people)",VC.IDP.TOCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80000,78000,,29000,35000,25000,27000,19000,19000,2300,1800,1100
Russian Federation,RUS,Merchandise exports to low- and middle-income economies in Middle East & North Africa (% of total merchandise exports),TX.VAL.MRCH.R4.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.283916918,3.470141121,1.139588023,1.36567453,1.25879181,1.413360813,1.863436301,2.114600145,1.773903438,2.649126754,2.395324506,2.200595982,2.660882876,2.115122351,1.857075321,2.675391453,2.399797893,2.513764994,2.454920797,2.124312252,2.234205721,1.586847687,2.54666646,3.186106984,4.475504991,4.58861259,3.899179571,3.076043605,
Russian Federation,RUS,Export volume index (2000 = 100),TX.QTY.MRCH.XD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,101.8927465,111.5490764,125.721056,139.0062271,146.5760373,153.3619225,160.4423709,158.5015114,155.1983556,166.4846243,163.2244963,162.883752,167.8162736,169.4244367,180.5162551,187.5903055,194.7974436,203.7283367,197.6251167,
Russian Federation,RUS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.711280852,10.87586302,3.200681044,2.412532652,3.861154501,3.397224039,3.583601882,3.958233862,3.814045645,5.757535713,7.004125624,7.430784514,8.587035121,9.261190139,11.5369795,14.17041097,15.0276333,16.52366625,20.06008729,17.64370939,18.81512903,19.57795631,20.61326566,22.90073818,25.04678893,25.54179826,25.99113192,26.32160527,
Russian Federation,RUS,"Tariff rate, most favored nation, simple mean, primary products (%)",TM.TAX.TCOM.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27,7.77,,9.62,10.11,,,,9.91,10.1,,,10.14,,10.2,9.93,10.2,10.18,10.18,10.32,9.9,8.9,8.36,8.23,7.6,8,11.65,
Russian Federation,RUS,"Tariff rate, most favored nation, simple mean, manufactured products (%)",TM.TAX.MANF.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.77,12.56,,12.21,13.28,,,,11.11,10.82,,,10.68,,9.97,9.85,9.83,8.62,8.54,8.59,8.43,7.75,7.2,6.26,5.99,5.85,7.44,
Russian Federation,RUS,"International tourism, number of arrivals",ST.INT.ARVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10290000,16208000,17463000,16188000,18820000,21169000,21595000,23309000,22521000,22064000,22201000,22486000,22909000,23676000,21339000,22281000,24932000,28177000,30792000,32421000,33729000,24571000,24390000,24551000,24419000,
